id,title,genre,releaseYear
1,Inception,SF,2010
2,The Godfather,Crime,1972
3,The Dark Knight,Action,2008
4,The Godfather Part II,Crime,1974
5,12 Angry Men,Drama,1957
6,Schindler's List,Biography,1993
7,The Lord of the Rings: The Return of the King,Action,2003
8,Pulp Fiction,Crime,1994
9,The Lord of the Rings: The Fellowship of the Ring,Action,2001
10,The Good the Bad and the Ugly,Western,1966
11,Forrest Gump,Drama,1994
12,Fight Club,Drama,1999
13,The Lord of the Rings: The Two Towers,Action,2002
14,Inception,Action,2010
15,Star Wars: Episode V - The Empire Strikes Back,Action,1980
16,The Matrix,Action,1999
17,Goodfellas,Biography,1990
18,One Flew Over the Cuckoo's Nest,Drama,1975
19,Se7en,Crime,1995
20,Seven Samurai,Action,1954
21,It's a Wonderful Life,Drama,1946
22,The Silence of the Lambs,Crime,1991
23,Saving Private Ryan,Drama,1998
24,City of God,Crime,2002
25,Life Is Beautiful,Comedy,1997
26,The Green Mile,Crime,1999
27,Interstellar,Adventure,2014
28,Star Wars: Episode IV - A New Hope,Action,1977
29,Terminator 2: Judgment Day,Action,1991
30,Back to the Future,Adventure,1985
31,Spirited Away,Animation,2001
32,Psycho,Horror,1960
33,The Pianist,Biography,2002
34,Parasite,Drama,2019
35,Leon: The Professional,Action,1994
36,The Lion King,Animation,1994
37,Gladiator,Action,2000
38,American History X,Drama,1998
39,The Departed,Crime,2006
40,The Prestige,Mystery,2006
41,Whiplash,Drama,2014
42,The Usual Suspects,Crime,1995
43,Casablanca,Drama,1942
44,Grave of the Fireflies,Animation,1988
45,Harakiri,Action,1962
46,The Intouchables,Biography,2011
47,Modern Times,Comedy,1936
48,Once Upon a Time in the West,Western,1968
49,Cinema Paradiso,Drama,1988
50,Rear Window,Mystery,1954
51,Alien,Horror,1979
52,City Lights,Comedy,1931
53,Apocalypse Now,Drama,1979
54,Memento,Mystery,2000
55,Django Unchained,Western,2012
56,Raiders of the Lost Ark,Adventure,1981
57,WALL-E,Animation,2008
58,The Lives of Others,Drama,2006
59,Sunset Boulevard,Drama,1950
60,Paths of Glory,War,1957
61,The Shining,Horror,1980
62,The Great Dictator,Comedy,1940
63,Witness for the Prosecution,Mystery,1957
64,Aliens,Action,1986
65,Spider-Man: Into the Spider-Verse,Animation,2018
66,American Beauty,Drama,1999
67,Dr. Strangelove,Comedy,1964
68,The Dark Knight Rises,Action,2012
69,Oldboy,Action,2003
70,Amadeus,Biography,1984
71,Inglourious Basterds,Adventure,2009
72,Coco,Animation,2017
73,Requiem for a Dream,Drama,2000
74,Joker,Crime,2019
75,Braveheart,Biography,1995
76,The Boat,Drama,1981
77,Toy Story,Animation,1995
78,High and Low,Crime,1963
79,Once Upon a Time in America,Crime,1984
80,Princess Mononoke,Animation,1997
81,Good Will Hunting,Drama,1997
